content,rating,class,processed_content,processed_content_wt
Shop phục vụ khá tốt.,4,2,shop phục vụ tốt,shop phục_vụ tốt
Sản phẩm gần giống mô tả,3,1,sản phẩm mô tả,sản_phẩm mô_tả
Giao hàng nhanh bất ngờ.,5,2,hàng bất ngờ,hàng bất_ngờ
Sản phẩm/dịch vụ giống mô tả.,4,2,sản phẩm dịch vụ mô tả,sản_phẩm dịch_vụ mô_tả
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",5,2,sản phẩm dịch vụ mô tả tốt đợi chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ shop tư vấn hướng cực kỳ nhiệt tình,sản_phẩm dịch_vụ mô_tả tốt đợi chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ shop tư_vấn hướng cực_kỳ nhiệt_tình
"Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",5,2,shop tư vấn hướng cực kỳ nhiệt tình,shop tư_vấn hướng cực_kỳ nhiệt_tình
Sản phẩm tốt vượt mong đợi,5,2,sản phẩm tốt đợi,sản_phẩm tốt đợi
Sản phẩm đúng mô tả,4,2,sản phẩm mô tả,sản_phẩm mô_tả
Hài lòng,5,2,hài,hài
sản phẩm giao hàng nhanh chóng. đóng gói chưa đc kĩ. giá cả tốt. sẽ ủng hộ lần sau,5,2,sản phẩm hàng chóng đóng gói kĩ giá tốt ủng hộ,sản_phẩm hàng_chóng đóng_gói kĩ_giá tốt ủng_hộ
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ.",5,2,chuyên nghiệp thân thiện đóng gói kỹ lưỡng chất tuyệt vời giá tốt hàng bất ngờ,chuyên_nghiệp thân_thiện đóng_gói kỹ_lưỡng chất tuyệt_vời giá tốt hàng bất_ngờ
Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi.,5,2,sản phẩm dịch vụ mô tả tốt đợi,sản_phẩm dịch_vụ mô_tả tốt đợi
Sản phẩm tốt vượt mong đợi,5,2,sản phẩm tốt đợi,sản_phẩm tốt đợi
Sản phẩm tốt vượt mong đợi,5,2,sản phẩm tốt đợi,sản_phẩm tốt đợi
Sản phẩm đúng mô tả,4,2,sản phẩm mô tả,sản_phẩm mô_tả
Sản phẩm tốt vượt mong đợi,5,2,sản phẩm tốt đợi,sản_phẩm tốt đợi
Chất lượng tuyệt vời.,5,2,chất tuyệt vời,chất tuyệt_vời
Sản phẩm tốt vượt mong đợi,5,2,sản phẩm tốt đợi,sản_phẩm tốt đợi
Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. lưu ý giờ giao hàng khi khách hàng yêu cầu!,5,2,sản phẩm dịch vụ mô tả tốt đợi chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ lưu hàng hàng yêu cầu,sản_phẩm dịch_vụ mô_tả tốt đợi chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ lưu_hàng hàng yêu_cầu
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",5,2,sản phẩm dịch vụ mô tả tốt đợi chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ shop tư vấn hướng cực kỳ nhiệt tình,sản_phẩm dịch_vụ mô_tả tốt đợi chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ shop tư_vấn hướng cực_kỳ nhiệt_tình
Sản phẩm tốt !,5,2,sản phẩm tốt,sản_phẩm tốt
đóng góp kĩ. giao hàng nhanh,5,2,đóng góp kĩ hàng,đóng_góp kĩ hàng
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",5,2,sản phẩm dịch vụ mô tả tốt đợi chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ shop tư vấn hướng cực kỳ nhiệt tình,sản_phẩm dịch_vụ mô_tả tốt đợi chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ shop tư_vấn hướng cực_kỳ nhiệt_tình
Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Gửi sản phẩm/vé dịch vụ nhanh.,5,2,sản phẩm dịch vụ mô tả tốt đợi gửi sản phẩm vé dịch vụ,sản_phẩm dịch_vụ mô_tả tốt_đợi gửi sản_phẩm vé dịch_vụ
Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.,5,2,sản phẩm dịch vụ mô tả tốt đợi chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ,sản_phẩm dịch_vụ mô_tả tốt đợi chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ
Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi.,5,2,sản phẩm dịch vụ mô tả tốt đợi,sản_phẩm dịch_vụ mô_tả tốt đợi
Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.,5,2,chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ,chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ
Đẹp như mô tả. Chất lượng tuyệt vời.,5,2,đẹp mô tả chất tuyệt vời,đẹp mô_tả chất tuyệt_vời
Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ.,5,2,đẹp mô tả chất tuyệt vời giá tốt hàng bất ngờ,đẹp mô_tả chất tuyệt_vời giá tốt hàng bất_ngờ
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.",5,2,sản phẩm dịch vụ mô tả tốt đợi shop tư vấn hướng cực kỳ nhiệt tình chất sản phẩm dịch vụ tốt gửi sản phẩm vé dịch vụ,sản_phẩm dịch_vụ mô_tả tốt đợi shop tư_vấn hướng cực_kỳ nhiệt_tình_chất sản_phẩm dịch_vụ tốt gửi sản_phẩm vé dịch_vụ
Sản phẩm/dịch vụ giống mô tả. Gửi sản phẩm/vé dịch vụ nhanh.,4,2,sản phẩm dịch vụ mô tả gửi sản phẩm vé dịch vụ,sản_phẩm dịch_vụ mô_tả gửi sản_phẩm vé dịch_vụ
"Sản phẩm hơi khác mô tả. Mua 11 loc may mà trả đuọc 3.Giấy 1 lớp thì nhiều 4 lớp ít thấy, bong rời, rách , bẩn, nhận 8 lốc mà khui 4 loc xem da như thế này, đã được đền trả 30k nên cho qua. Không giám ham rẻ .",2,0,sản phẩm hơi mô tả đuọc giấy lớp lớp rời rách bẩn lốc đền không giám rẻ,sản_phẩm hơi mô_tả đuọc giấy lớp_lớp rời rách bẩn lốc đền không giám_rẻ
sản phẩm giấy lót xu này giống của hiền trang loại này không có chữ của hiền trang in trên mép miếng lót hàng này là hàng nhái hai hình túi chữ đã thấy khác nhau hoàn toàn hình ảnh 1 là mới mua còn hình 2 là mua đã dùng hết tóm lại là hàng nhái,1,0,sản phẩm giấy lót hiền không chữ hiền mép miếng lót hàng hàng nhái hình túi chữ hoàn toàn hình ảnh hình tóm hàng nhái,sản_phẩm giấy_lót hiền không chữ hiền_mép miếng lót hàng hàng nhái hình túi chữ hoàn_toàn hình_ảnh hình_tóm hàng nhái
Mình mua ở ngoài nhưng chất lượng ko thế này đâu. Đắt hơn thật nhưng đúng là tiền nào của nấy các mẹ nhé,4,2,chất không đắt tiền mẹ,chất không đắt tiền mẹ
shop nhiệt tình.. giao hàng nhanh sp tốt giá lại rẻ ..mình mua 5 bịch lại còn dk Shop tặng thêm cho 3 gói nhỏ nữa ..cảm ơn Shop nhiều,5,2,shop nhiệt tình hàng tốt giá rẻ bịch shop tặng gói cảm ơn shop,shop nhiệt_tình hàng tốt giá rẻ bịch shop tặng gói cảm_ơn shop
Thái độ phục vụ của Shop rất kém/Shop không hỗ trợ sử dụng dịch vụ. Thái độ như bọn vô học Hối hận khi lỡ lấy hàng của bọn mày,1,0,thái độ phục vụ shop kém shop không hỗ trợ sử dụng dịch vụ thái độ bọn vô học hối hận lỡ hàng bọn mày,thái_độ phục_vụ shop kém shop không hỗ_trợ sử_dụng dịch_vụ thái_độ bọn vô_học hối_hận lỡ hàng bọn mày
muốn mua thêm mà không biết shop còn sale giá như trên k ạ,5,2,không shop giá không,không shop giá không
ta lót mình đặt 2 gói. số lươnhj là 200 miếng mà thiếu 15 miếng. còn khăn giấy ghi số lượng 300 tờ mà 1 bi khoang 135 tờ thôi. chưa đc 1 nữa,3,1,lót gói lươnhj miếng miếng khăn giấy tờ tờ,lót gói lươnhj miếng miếng khăn giấy_tờ tờ
